ID,GEO_R,GEO_V,GEO_X,RAD,MAT,FC,SHTK,BF
16085,1,0,0,30,1.0,0.07,0.95,100000.0
16086,1,0,0,30,1.0,0.08,0.95,100000.0
16087,1,0,0,30,1.0,0.09,0.95,100000.0
16088,1,0,0,30,1.0,0.1,0.95,100000.0
16089,1,0,0,30,1.0,0.11,0.95,100000.0
16090,1,0,0,30,1.0,0.12,0.95,100000.0
16091,1,0,0,30,1.0,0.13,0.95,100000.0
16092,1,0,0,30,1.0,0.14,0.95,100000.0
16093,1,0,0,30,1.0,0.15,0.95,100000.0
16094,1,0,0,30,1.025,0.05,0.95,100000.0
16095,1,0,0,30,1.025,0.06,0.95,100000.0
16096,1,0,0,30,1.025,0.07,0.95,100000.0
16097,1,0,0,30,1.025,0.08,0.95,100000.0
16098,1,0,0,30,1.025,0.09,0.95,100000.0
16099,1,0,0,30,1.025,0.1,0.95,100000.0
16100,1,0,0,30,1.025,0.11,0.95,100000.0
16101,1,0,0,30,1.025,0.12,0.95,100000.0
16102,1,0,0,30,1.025,0.13,0.95,100000.0
16103,1,0,0,30,1.025,0.14,0.95,100000.0
16104,1,0,0,30,1.025,0.15,0.95,100000.0
16105,1,0,0,30,1.05,0.05,0.95,100000.0
16106,1,0,0,30,1.05,0.06,0.95,100000.0
16107,1,0,0,30,1.05,0.07,0.95,100000.0
16108,1,0,0,30,1.05,0.08,0.95,100000.0
16109,1,0,0,30,1.05,0.09,0.95,100000.0
16110,1,0,0,30,1.05,0.1,0.95,100000.0
16111,1,0,0,30,1.05,0.11,0.95,100000.0
16112,1,0,0,30,1.05,0.12,0.95,100000.0
16113,1,0,0,30,1.05,0.13,0.95,100000.0
16114,1,0,0,30,1.05,0.14,0.95,100000.0
16115,1,0,0,30,1.05,0.15,0.95,100000.0
16116,1,0,0,30,1.075,0.05,0.95,100000.0
16117,1,0,0,30,1.075,0.06,0.95,100000.0
16118,1,0,0,30,1.075,0.07,0.95,100000.0
16119,1,0,0,30,1.075,0.08,0.95,100000.0
16120,1,0,0,30,1.075,0.09,0.95,100000.0
16121,1,0,0,30,1.075,0.1,0.95,100000.0
16122,1,0,0,30,1.075,0.11,0.95,100000.0
16123,1,0,0,30,1.075,0.12,0.95,100000.0
16124,1,0,0,30,1.075,0.13,0.95,100000.0
16125,1,0,0,30,1.075,0.14,0.95,100000.0
16126,1,0,0,30,1.075,0.15,0.95,100000.0
16127,1,0,0,30,1.1,0.05,0.95,100000.0
16128,1,0,0,30,1.1,0.06,0.95,100000.0
16129,1,0,0,30,1.1,0.07,0.95,100000.0
16130,1,0,0,30,1.1,0.08,0.95,100000.0
16131,1,0,0,30,1.1,0.09,0.95,100000.0
16132,1,0,0,30,1.1,0.1,0.95,100000.0
16133,1,0,0,30,1.1,0.11,0.95,100000.0
16134,1,0,0,30,1.1,0.12,0.95,100000.0
16135,1,0,0,30,1.1,0.13,0.95,100000.0
16136,1,0,0,30,1.1,0.14,0.95,100000.0
16137,1,0,0,30,1.1,0.15,0.95,100000.0
16138,1,0,0,30,0.9,0.05,0.96,100000.0
16139,1,0,0,30,0.9,0.06,0.96,100000.0
16140,1,0,0,30,0.9,0.07,0.96,100000.0
16141,1,0,0,30,0.9,0.08,0.96,100000.0
16142,1,0,0,30,0.9,0.09,0.96,100000.0
16143,1,0,0,30,0.9,0.1,0.96,100000.0
16144,1,0,0,30,0.9,0.11,0.96,100000.0
16145,1,0,0,30,0.9,0.12,0.96,100000.0
16146,1,0,0,30,0.9,0.13,0.96,100000.0
16147,1,0,0,30,0.9,0.14,0.96,100000.0
16148,1,0,0,30,0.9,0.15,0.96,100000.0
16149,1,0,0,30,0.925,0.05,0.96,100000.0
16150,1,0,0,30,0.925,0.06,0.96,100000.0
16151,1,0,0,30,0.925,0.07,0.96,100000.0
16152,1,0,0,30,0.925,0.08,0.96,100000.0
16153,1,0,0,30,0.925,0.09,0.96,100000.0
16154,1,0,0,30,0.925,0.1,0.96,100000.0
16155,1,0,0,30,0.925,0.11,0.96,100000.0
16156,1,0,0,30,0.925,0.12,0.96,100000.0
16157,1,0,0,30,0.925,0.13,0.96,100000.0
16158,1,0,0,30,0.925,0.14,0.96,100000.0
16159,1,0,0,30,0.925,0.15,0.96,100000.0
16160,1,0,0,30,0.95,0.05,0.96,100000.0
16161,1,0,0,30,0.95,0.06,0.96,100000.0
16162,1,0,0,30,0.95,0.07,0.96,100000.0
16163,1,0,0,30,0.95,0.08,0.96,100000.0
16164,1,0,0,30,0.95,0.09,0.96,100000.0
16165,1,0,0,30,0.95,0.1,0.96,100000.0
16166,1,0,0,30,0.95,0.11,0.96,100000.0
16167,1,0,0,30,0.95,0.12,0.96,100000.0
16168,1,0,0,30,0.95,0.13,0.96,100000.0
16169,1,0,0,30,0.95,0.14,0.96,100000.0
16170,1,0,0,30,0.95,0.15,0.96,100000.0
16171,1,0,0,30,0.975,0.05,0.96,100000.0
16172,1,0,0,30,0.975,0.06,0.96,100000.0
16173,1,0,0,30,0.975,0.07,0.96,100000.0
16174,1,0,0,30,0.975,0.08,0.96,100000.0
16175,1,0,0,30,0.975,0.09,0.96,100000.0
16176,1,0,0,30,0.975,0.1,0.96,100000.0
16177,1,0,0,30,0.975,0.11,0.96,100000.0
16178,1,0,0,30,0.975,0.12,0.96,100000.0
16179,1,0,0,30,0.975,0.13,0.96,100000.0
16180,1,0,0,30,0.975,0.14,0.96,100000.0
16181,1,0,0,30,0.975,0.15,0.96,100000.0
16182,1,0,0,30,1.0,0.05,0.96,100000.0
16183,1,0,0,30,1.0,0.06,0.96,100000.0
16184,1,0,0,30,1.0,0.07,0.96,100000.0
16185,1,0,0,30,1.0,0.08,0.96,100000.0
16186,1,0,0,30,1.0,0.09,0.96,100000.0
16187,1,0,0,30,1.0,0.1,0.96,100000.0
16188,1,0,0,30,1.0,0.11,0.96,100000.0
16189,1,0,0,30,1.0,0.12,0.96,100000.0
16190,1,0,0,30,1.0,0.13,0.96,100000.0
16191,1,0,0,30,1.0,0.14,0.96,100000.0
16192,1,0,0,30,1.0,0.15,0.96,100000.0
16193,1,0,0,30,1.025,0.05,0.96,100000.0
16194,1,0,0,30,1.025,0.06,0.96,100000.0
16195,1,0,0,30,1.025,0.07,0.96,100000.0
16196,1,0,0,30,1.025,0.08,0.96,100000.0
16197,1,0,0,30,1.025,0.09,0.96,100000.0
16198,1,0,0,30,1.025,0.1,0.96,100000.0
16199,1,0,0,30,1.025,0.11,0.96,100000.0
16200,1,0,0,30,1.025,0.12,0.96,100000.0
16201,1,0,0,30,1.025,0.13,0.96,100000.0
16202,1,0,0,30,1.025,0.14,0.96,100000.0
16203,1,0,0,30,1.025,0.15,0.96,100000.0
16204,1,0,0,30,1.05,0.05,0.96,100000.0
16205,1,0,0,30,1.05,0.06,0.96,100000.0
16206,1,0,0,30,1.05,0.07,0.96,100000.0
16207,1,0,0,30,1.05,0.08,0.96,100000.0
16208,1,0,0,30,1.05,0.09,0.96,100000.0
16209,1,0,0,30,1.05,0.1,0.96,100000.0
16210,1,0,0,30,1.05,0.11,0.96,100000.0
16211,1,0,0,30,1.05,0.12,0.96,100000.0
16212,1,0,0,30,1.05,0.13,0.96,100000.0
16213,1,0,0,30,1.05,0.14,0.96,100000.0
16214,1,0,0,30,1.05,0.15,0.96,100000.0
16215,1,0,0,30,1.075,0.05,0.96,100000.0
16216,1,0,0,30,1.075,0.06,0.96,100000.0
16217,1,0,0,30,1.075,0.07,0.96,100000.0
16218,1,0,0,30,1.075,0.08,0.96,100000.0
16219,1,0,0,30,1.075,0.09,0.96,100000.0
16220,1,0,0,30,1.075,0.1,0.96,100000.0
16221,1,0,0,30,1.075,0.11,0.96,100000.0
16222,1,0,0,30,1.075,0.12,0.96,100000.0
16223,1,0,0,30,1.075,0.13,0.96,100000.0
16224,1,0,0,30,1.075,0.14,0.96,100000.0
16225,1,0,0,30,1.075,0.15,0.96,100000.0
16226,1,0,0,30,1.1,0.05,0.96,100000.0
16227,1,0,0,30,1.1,0.06,0.96,100000.0
16228,1,0,0,30,1.1,0.07,0.96,100000.0
16229,1,0,0,30,1.1,0.08,0.96,100000.0
16230,1,0,0,30,1.1,0.09,0.96,100000.0
16231,1,0,0,30,1.1,0.1,0.96,100000.0
16232,1,0,0,30,1.1,0.11,0.96,100000.0
16233,1,0,0,30,1.1,0.12,0.96,100000.0
16234,1,0,0,30,1.1,0.13,0.96,100000.0
16235,1,0,0,30,1.1,0.14,0.96,100000.0
16236,1,0,0,30,1.1,0.15,0.96,100000.0
16237,1,0,0,30,0.9,0.05,0.97,100000.0
16238,1,0,0,30,0.9,0.06,0.97,100000.0
16239,1,0,0,30,0.9,0.07,0.97,100000.0
16240,1,0,0,30,0.9,0.08,0.97,100000.0
16241,1,0,0,30,0.9,0.09,0.97,100000.0
16242,1,0,0,30,0.9,0.1,0.97,100000.0
16243,1,0,0,30,0.9,0.11,0.97,100000.0
16244,1,0,0,30,0.9,0.12,0.97,100000.0
16245,1,0,0,30,0.9,0.13,0.97,100000.0
16246,1,0,0,30,0.9,0.14,0.97,100000.0
16247,1,0,0,30,0.9,0.15,0.97,100000.0
16248,1,0,0,30,0.925,0.05,0.97,100000.0
16249,1,0,0,30,0.925,0.06,0.97,100000.0
16250,1,0,0,30,0.925,0.07,0.97,100000.0
16251,1,0,0,30,0.925,0.08,0.97,100000.0
16252,1,0,0,30,0.925,0.09,0.97,100000.0
16253,1,0,0,30,0.925,0.1,0.97,100000.0
16254,1,0,0,30,0.925,0.11,0.97,100000.0
16255,1,0,0,30,0.925,0.12,0.97,100000.0
16256,1,0,0,30,0.925,0.13,0.97,100000.0
16257,1,0,0,30,0.925,0.14,0.97,100000.0
16258,1,0,0,30,0.925,0.15,0.97,100000.0
16259,1,0,0,30,0.95,0.05,0.97,100000.0
16260,1,0,0,30,0.95,0.06,0.97,100000.0
16261,1,0,0,30,0.95,0.07,0.97,100000.0
16262,1,0,0,30,0.95,0.08,0.97,100000.0
16263,1,0,0,30,0.95,0.09,0.97,100000.0
16264,1,0,0,30,0.95,0.1,0.97,100000.0
16265,1,0,0,30,0.95,0.11,0.97,100000.0
16266,1,0,0,30,0.95,0.12,0.97,100000.0
16267,1,0,0,30,0.95,0.13,0.97,100000.0
16268,1,0,0,30,0.95,0.14,0.97,100000.0
16269,1,0,0,30,0.95,0.15,0.97,100000.0
16270,1,0,0,30,0.975,0.05,0.97,100000.0
16271,1,0,0,30,0.975,0.06,0.97,100000.0
16272,1,0,0,30,0.975,0.07,0.97,100000.0
16273,1,0,0,30,0.975,0.08,0.97,100000.0
16274,1,0,0,30,0.975,0.09,0.97,100000.0
16275,1,0,0,30,0.975,0.1,0.97,100000.0
16276,1,0,0,30,0.975,0.11,0.97,100000.0
16277,1,0,0,30,0.975,0.12,0.97,100000.0
16278,1,0,0,30,0.975,0.13,0.97,100000.0
16279,1,0,0,30,0.975,0.14,0.97,100000.0
16280,1,0,0,30,0.975,0.15,0.97,100000.0
16281,1,0,0,30,1.0,0.05,0.97,100000.0
16282,1,0,0,30,1.0,0.06,0.97,100000.0
16283,1,0,0,30,1.0,0.07,0.97,100000.0
16284,1,0,0,30,1.0,0.08,0.97,100000.0
16285,1,0,0,30,1.0,0.09,0.97,100000.0
16286,1,0,0,30,1.0,0.1,0.97,100000.0
16287,1,0,0,30,1.0,0.11,0.97,100000.0
16288,1,0,0,30,1.0,0.12,0.97,100000.0
16289,1,0,0,30,1.0,0.13,0.97,100000.0
16290,1,0,0,30,1.0,0.14,0.97,100000.0
16291,1,0,0,30,1.0,0.15,0.97,100000.0
16292,1,0,0,30,1.025,0.05,0.97,100000.0
16293,1,0,0,30,1.025,0.06,0.97,100000.0
16294,1,0,0,30,1.025,0.07,0.97,100000.0
16295,1,0,0,30,1.025,0.08,0.97,100000.0
16296,1,0,0,30,1.025,0.09,0.97,100000.0
16297,1,0,0,30,1.025,0.1,0.97,100000.0
16298,1,0,0,30,1.025,0.11,0.97,100000.0
16299,1,0,0,30,1.025,0.12,0.97,100000.0
16300,1,0,0,30,1.025,0.13,0.97,100000.0
16301,1,0,0,30,1.025,0.14,0.97,100000.0
16302,1,0,0,30,1.025,0.15,0.97,100000.0
16303,1,0,0,30,1.05,0.05,0.97,100000.0
16304,1,0,0,30,1.05,0.06,0.97,100000.0
16305,1,0,0,30,1.05,0.07,0.97,100000.0
16306,1,0,0,30,1.05,0.08,0.97,100000.0
16307,1,0,0,30,1.05,0.09,0.97,100000.0
16308,1,0,0,30,1.05,0.1,0.97,100000.0
16309,1,0,0,30,1.05,0.11,0.97,100000.0
16310,1,0,0,30,1.05,0.12,0.97,100000.0
16311,1,0,0,30,1.05,0.13,0.97,100000.0
16312,1,0,0,30,1.05,0.14,0.97,100000.0
16313,1,0,0,30,1.05,0.15,0.97,100000.0
16314,1,0,0,30,1.075,0.05,0.97,100000.0
16315,1,0,0,30,1.075,0.06,0.97,100000.0
16316,1,0,0,30,1.075,0.07,0.97,100000.0
16317,1,0,0,30,1.075,0.08,0.97,100000.0
16318,1,0,0,30,1.075,0.09,0.97,100000.0
16319,1,0,0,30,1.075,0.1,0.97,100000.0
16320,1,0,0,30,1.075,0.11,0.97,100000.0
16321,1,0,0,30,1.075,0.12,0.97,100000.0
16322,1,0,0,30,1.075,0.13,0.97,100000.0
16323,1,0,0,30,1.075,0.14,0.97,100000.0
16324,1,0,0,30,1.075,0.15,0.97,100000.0
16325,1,0,0,30,1.1,0.05,0.97,100000.0
16326,1,0,0,30,1.1,0.06,0.97,100000.0
16327,1,0,0,30,1.1,0.07,0.97,100000.0
16328,1,0,0,30,1.1,0.08,0.97,100000.0
16329,1,0,0,30,1.1,0.09,0.97,100000.0
16330,1,0,0,30,1.1,0.1,0.97,100000.0
16331,1,0,0,30,1.1,0.11,0.97,100000.0
16332,1,0,0,30,1.1,0.12,0.97,100000.0
16333,1,0,0,30,1.1,0.13,0.97,100000.0
16334,1,0,0,30,1.1,0.14,0.97,100000.0
16335,1,0,0,30,1.1,0.15,0.97,100000.0
16336,1,0,0,30,0.9,0.05,0.98,100000.0
16337,1,0,0,30,0.9,0.06,0.98,100000.0
16338,1,0,0,30,0.9,0.07,0.98,100000.0
16339,1,0,0,30,0.9,0.08,0.98,100000.0
16340,1,0,0,30,0.9,0.09,0.98,100000.0
16341,1,0,0,30,0.9,0.1,0.98,100000.0
16342,1,0,0,30,0.9,0.11,0.98,100000.0
16343,1,0,0,30,0.9,0.12,0.98,100000.0
16344,1,0,0,30,0.9,0.13,0.98,100000.0
16345,1,0,0,30,0.9,0.14,0.98,100000.0
16346,1,0,0,30,0.9,0.15,0.98,100000.0
16347,1,0,0,30,0.925,0.05,0.98,100000.0
16348,1,0,0,30,0.925,0.06,0.98,100000.0
16349,1,0,0,30,0.925,0.07,0.98,100000.0
16350,1,0,0,30,0.925,0.08,0.98,100000.0
16351,1,0,0,30,0.925,0.09,0.98,100000.0
16352,1,0,0,30,0.925,0.1,0.98,100000.0
16353,1,0,0,30,0.925,0.11,0.98,100000.0
16354,1,0,0,30,0.925,0.12,0.98,100000.0
16355,1,0,0,30,0.925,0.13,0.98,100000.0
16356,1,0,0,30,0.925,0.14,0.98,100000.0
16357,1,0,0,30,0.925,0.15,0.98,100000.0
16358,1,0,0,30,0.95,0.05,0.98,100000.0
16359,1,0,0,30,0.95,0.06,0.98,100000.0
16360,1,0,0,30,0.95,0.07,0.98,100000.0
16361,1,0,0,30,0.95,0.08,0.98,100000.0
16362,1,0,0,30,0.95,0.09,0.98,100000.0
16363,1,0,0,30,0.95,0.1,0.98,100000.0
16364,1,0,0,30,0.95,0.11,0.98,100000.0
16365,1,0,0,30,0.95,0.12,0.98,100000.0
16366,1,0,0,30,0.95,0.13,0.98,100000.0
16367,1,0,0,30,0.95,0.14,0.98,100000.0
16368,1,0,0,30,0.95,0.15,0.98,100000.0
16369,1,0,0,30,0.975,0.05,0.98,100000.0
16370,1,0,0,30,0.975,0.06,0.98,100000.0
16371,1,0,0,30,0.975,0.07,0.98,100000.0
16372,1,0,0,30,0.975,0.08,0.98,100000.0
16373,1,0,0,30,0.975,0.09,0.98,100000.0
16374,1,0,0,30,0.975,0.1,0.98,100000.0
16375,1,0,0,30,0.975,0.11,0.98,100000.0
16376,1,0,0,30,0.975,0.12,0.98,100000.0
16377,1,0,0,30,0.975,0.13,0.98,100000.0
16378,1,0,0,30,0.975,0.14,0.98,100000.0
16379,1,0,0,30,0.975,0.15,0.98,100000.0
16380,1,0,0,30,1.0,0.05,0.98,100000.0
16381,1,0,0,30,1.0,0.06,0.98,100000.0
16382,1,0,0,30,1.0,0.07,0.98,100000.0
16383,1,0,0,30,1.0,0.08,0.98,100000.0
16384,1,0,0,30,1.0,0.09,0.98,100000.0
16385,1,0,0,30,1.0,0.1,0.98,100000.0
16386,1,0,0,30,1.0,0.11,0.98,100000.0
16387,1,0,0,30,1.0,0.12,0.98,100000.0
16388,1,0,0,30,1.0,0.13,0.98,100000.0
16389,1,0,0,30,1.0,0.14,0.98,100000.0
16390,1,0,0,30,1.0,0.15,0.98,100000.0
16391,1,0,0,30,1.025,0.05,0.98,100000.0
16392,1,0,0,30,1.025,0.06,0.98,100000.0
16393,1,0,0,30,1.025,0.07,0.98,100000.0
16394,1,0,0,30,1.025,0.08,0.98,100000.0
16395,1,0,0,30,1.025,0.09,0.98,100000.0
16396,1,0,0,30,1.025,0.1,0.98,100000.0
16397,1,0,0,30,1.025,0.11,0.98,100000.0
16398,1,0,0,30,1.025,0.12,0.98,100000.0
16399,1,0,0,30,1.025,0.13,0.98,100000.0
16400,1,0,0,30,1.025,0.14,0.98,100000.0
16401,1,0,0,30,1.025,0.15,0.98,100000.0
16402,1,0,0,30,1.05,0.05,0.98,100000.0
16403,1,0,0,30,1.05,0.06,0.98,100000.0
16404,1,0,0,30,1.05,0.07,0.98,100000.0
16405,1,0,0,30,1.05,0.08,0.98,100000.0
16406,1,0,0,30,1.05,0.09,0.98,100000.0
16407,1,0,0,30,1.05,0.1,0.98,100000.0
16408,1,0,0,30,1.05,0.11,0.98,100000.0
16409,1,0,0,30,1.05,0.12,0.98,100000.0
16410,1,0,0,30,1.05,0.13,0.98,100000.0
16411,1,0,0,30,1.05,0.14,0.98,100000.0
16412,1,0,0,30,1.05,0.15,0.98,100000.0
16413,1,0,0,30,1.075,0.05,0.98,100000.0
16414,1,0,0,30,1.075,0.06,0.98,100000.0
16415,1,0,0,30,1.075,0.07,0.98,100000.0
16416,1,0,0,30,1.075,0.08,0.98,100000.0
16417,1,0,0,30,1.075,0.09,0.98,100000.0
16418,1,0,0,30,1.075,0.1,0.98,100000.0
16419,1,0,0,30,1.075,0.11,0.98,100000.0
16420,1,0,0,30,1.075,0.12,0.98,100000.0
16421,1,0,0,30,1.075,0.13,0.98,100000.0
16422,1,0,0,30,1.075,0.14,0.98,100000.0
16423,1,0,0,30,1.075,0.15,0.98,100000.0
16424,1,0,0,30,1.1,0.05,0.98,100000.0
16425,1,0,0,30,1.1,0.06,0.98,100000.0
16426,1,0,0,30,1.1,0.07,0.98,100000.0
16427,1,0,0,30,1.1,0.08,0.98,100000.0
16428,1,0,0,30,1.1,0.09,0.98,100000.0
16429,1,0,0,30,1.1,0.1,0.98,100000.0
16430,1,0,0,30,1.1,0.11,0.98,100000.0
16431,1,0,0,30,1.1,0.12,0.98,100000.0
16432,1,0,0,30,1.1,0.13,0.98,100000.0
16433,1,0,0,30,1.1,0.14,0.98,100000.0
16434,1,0,0,30,1.1,0.15,0.98,100000.0
16435,1,0,0,30,0.9,0.05,0.99,100000.0
16436,1,0,0,30,0.9,0.06,0.99,100000.0
16437,1,0,0,30,0.9,0.07,0.99,100000.0
16438,1,0,0,30,0.9,0.08,0.99,100000.0
16439,1,0,0,30,0.9,0.09,0.99,100000.0
16440,1,0,0,30,0.9,0.1,0.99,100000.0
16441,1,0,0,30,0.9,0.11,0.99,100000.0
16442,1,0,0,30,0.9,0.12,0.99,100000.0
16443,1,0,0,30,0.9,0.13,0.99,100000.0
16444,1,0,0,30,0.9,0.14,0.99,100000.0
16445,1,0,0,30,0.9,0.15,0.99,100000.0
16446,1,0,0,30,0.925,0.05,0.99,100000.0
16447,1,0,0,30,0.925,0.06,0.99,100000.0
16448,1,0,0,30,0.925,0.07,0.99,100000.0
16449,1,0,0,30,0.925,0.08,0.99,100000.0
16450,1,0,0,30,0.925,0.09,0.99,100000.0
16451,1,0,0,30,0.925,0.1,0.99,100000.0
16452,1,0,0,30,0.925,0.11,0.99,100000.0
16453,1,0,0,30,0.925,0.12,0.99,100000.0
16454,1,0,0,30,0.925,0.13,0.99,100000.0
16455,1,0,0,30,0.925,0.14,0.99,100000.0
16456,1,0,0,30,0.925,0.15,0.99,100000.0
16457,1,0,0,30,0.95,0.05,0.99,100000.0
16458,1,0,0,30,0.95,0.06,0.99,100000.0
16459,1,0,0,30,0.95,0.07,0.99,100000.0
16460,1,0,0,30,0.95,0.08,0.99,100000.0
16461,1,0,0,30,0.95,0.09,0.99,100000.0
16462,1,0,0,30,0.95,0.1,0.99,100000.0
16463,1,0,0,30,0.95,0.11,0.99,100000.0
16464,1,0,0,30,0.95,0.12,0.99,100000.0
16465,1,0,0,30,0.95,0.13,0.99,100000.0
16466,1,0,0,30,0.95,0.14,0.99,100000.0
16467,1,0,0,30,0.95,0.15,0.99,100000.0
16468,1,0,0,30,0.975,0.05,0.99,100000.0
16469,1,0,0,30,0.975,0.06,0.99,100000.0
16470,1,0,0,30,0.975,0.07,0.99,100000.0
16471,1,0,0,30,0.975,0.08,0.99,100000.0
16472,1,0,0,30,0.975,0.09,0.99,100000.0
16473,1,0,0,30,0.975,0.1,0.99,100000.0
16474,1,0,0,30,0.975,0.11,0.99,100000.0
16475,1,0,0,30,0.975,0.12,0.99,100000.0
16476,1,0,0,30,0.975,0.13,0.99,100000.0
16477,1,0,0,30,0.975,0.14,0.99,100000.0
16478,1,0,0,30,0.975,0.15,0.99,100000.0
16479,1,0,0,30,1.0,0.05,0.99,100000.0
16480,1,0,0,30,1.0,0.06,0.99,100000.0
16481,1,0,0,30,1.0,0.07,0.99,100000.0
16482,1,0,0,30,1.0,0.08,0.99,100000.0
16483,1,0,0,30,1.0,0.09,0.99,100000.0
16484,1,0,0,30,1.0,0.1,0.99,100000.0
16485,1,0,0,30,1.0,0.11,0.99,100000.0
16486,1,0,0,30,1.0,0.12,0.99,100000.0
16487,1,0,0,30,1.0,0.13,0.99,100000.0
16488,1,0,0,30,1.0,0.14,0.99,100000.0
16489,1,0,0,30,1.0,0.15,0.99,100000.0
16490,1,0,0,30,1.025,0.05,0.99,100000.0
16491,1,0,0,30,1.025,0.06,0.99,100000.0
16492,1,0,0,30,1.025,0.07,0.99,100000.0
16493,1,0,0,30,1.025,0.08,0.99,100000.0
16494,1,0,0,30,1.025,0.09,0.99,100000.0
16495,1,0,0,30,1.025,0.1,0.99,100000.0
16496,1,0,0,30,1.025,0.11,0.99,100000.0
16497,1,0,0,30,1.025,0.12,0.99,100000.0
16498,1,0,0,30,1.025,0.13,0.99,100000.0
16499,1,0,0,30,1.025,0.14,0.99,100000.0
16500,1,0,0,30,1.025,0.15,0.99,100000.0
16501,1,0,0,30,1.05,0.05,0.99,100000.0
16502,1,0,0,30,1.05,0.06,0.99,100000.0
16503,1,0,0,30,1.05,0.07,0.99,100000.0
16504,1,0,0,30,1.05,0.08,0.99,100000.0
16505,1,0,0,30,1.05,0.09,0.99,100000.0
16506,1,0,0,30,1.05,0.1,0.99,100000.0
16507,1,0,0,30,1.05,0.11,0.99,100000.0
16508,1,0,0,30,1.05,0.12,0.99,100000.0
16509,1,0,0,30,1.05,0.13,0.99,100000.0
16510,1,0,0,30,1.05,0.14,0.99,100000.0
16511,1,0,0,30,1.05,0.15,0.99,100000.0
16512,1,0,0,30,1.075,0.05,0.99,100000.0
16513,1,0,0,30,1.075,0.06,0.99,100000.0
16514,1,0,0,30,1.075,0.07,0.99,100000.0
16515,1,0,0,30,1.075,0.08,0.99,100000.0
16516,1,0,0,30,1.075,0.09,0.99,100000.0
16517,1,0,0,30,1.075,0.1,0.99,100000.0
16518,1,0,0,30,1.075,0.11,0.99,100000.0
16519,1,0,0,30,1.075,0.12,0.99,100000.0
16520,1,0,0,30,1.075,0.13,0.99,100000.0
16521,1,0,0,30,1.075,0.14,0.99,100000.0
16522,1,0,0,30,1.075,0.15,0.99,100000.0
16523,1,0,0,30,1.1,0.05,0.99,100000.0
16524,1,0,0,30,1.1,0.06,0.99,100000.0
16525,1,0,0,30,1.1,0.07,0.99,100000.0
16526,1,0,0,30,1.1,0.08,0.99,100000.0
16527,1,0,0,30,1.1,0.09,0.99,100000.0
16528,1,0,0,30,1.1,0.1,0.99,100000.0
16529,1,0,0,30,1.1,0.11,0.99,100000.0
16530,1,0,0,30,1.1,0.12,0.99,100000.0
16531,1,0,0,30,1.1,0.13,0.99,100000.0
16532,1,0,0,30,1.1,0.14,0.99,100000.0
16533,1,0,0,30,1.1,0.15,0.99,100000.0
16534,1,0,0,30,0.9,0.05,1.0,100000.0
16535,1,0,0,30,0.9,0.06,1.0,100000.0
